,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,VOM,c_b,c_v,capacity,capture rate,capture_rate,compression-electricity-input,compression-heat-output,discount rate,efficiency,efficiency-heat,electricity-input,fuel,heat-input,heat-output,investment,lifetime,min_fill_level,p_nom_ratio,fixed,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
H2 (l) storage tank,,,0,,2,0,,,,,,,,0.07,1,,,0,,,750.08,20,,,85.80384574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2 (l) transport ship,,,0,,4,0,,,11000,,,,,0.07,1,,,0,,,361223561.6,20,,,48545891.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2 evaporation,,,0,,2.5,0,,,,,,,,0.07,1,,,0,,,143640,20,,,17149.59985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2 liquefaction,,,0,,2.5,0,,,,,,,,0.07,1,,,0,,,870560,20,,,103938.7054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2 pipeline,,,0,,3,0,,,,,,,,0.07,1,,,0,,,267,40,,,28.03744008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVAC overhead,,,0,,2,0,,,,,,,,0.07,1,,,0,,,432.97,40,,,41.13610686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVDC inverter pair,,,0,,2,0,,,,,,,,0.07,1,,,0,,,162364.82,40,,,15426.14173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVDC overhead,,,0,,2,0,,,,,,,,0.07,1,,,0,,,432.97,40,,,41.13610686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVDC submarine,,,0,,0.35,0,,,,,,,,0.07,1,,,0,,,471.16,40,,,36.99036587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haber-Bosch,,,0,,3,0.02,,,,,,,,0.07,1,,,0,,,1297430,30,,,143478.1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNG storage tank,,,0,,2,0,,,,,,,,0.07,1,,,0,,,611.59,20,,,69.96156946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHC chemical,,,0,,0,0,,,,,,,,0.07,1,,,0,,,2264.33,20,,,213.7367335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHC dehydrogenation,,,0,,3,0,,,,,,,,0.07,1,,,0,,,50728.03,20,,,6310.208069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHC dehydrogenation (small scale),,,0,,3,0,,,,,,,,0.07,1,,,0,,,759908.15,20,,,94527.19807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHC hydrogenation,,,0,,3,0,,,,,,,,0.07,1,,,0,,,51259.54,20,,,6376.324153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHC loaded DBT storage,,,0,,6.25,0,,,,,,,,0.07,1,,,0,,,149.27,30,,,21.35850745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHC transport ship,,,0,,5,0,,,75000,,,,,0.07,1,,,0,,,31700578.34,15,,,5065582.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHC unloaded DBT storage,,,0,,6.25,0,,,,,,,,0.07,1,,,0,,,132.26,30,,,18.92460773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeOH transport ship,,,0,,5,0,,,75000,,,,,0.07,1,,,0,,,31700578.34,15,,,5065582.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanol steam reforming,,,0,,4,0,,,,,,,,0.07,1,,,0,,,16318.43,20,,,2193.081551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
